Id,Measure,ValueAttribute,Value,StringValue,WijkenEnBuurten
6758,M000297,None,47.0,,BU16802109
6763,1014800_1,None,89.0,,BU16802109
6764,1014850_2,None,11.0,,BU16802109
6847,M000297,None,5071.0,,GM0738
6848,M001642,None,245.0,,GM0738
6853,1014800_1,None,72.0,,GM0738
6854,1014850_2,None,28.0,,GM0738
6952,M000297,None,2345.0,,WK073800
6953,M001642,None,244.0,,WK073800
6958,1014800_1,None,70.0,,WK073800
6959,1014850_2,None,30.0,,WK073800
7057,M000297,None,1986.0,,BU07380000
7058,M001642,None,230.0,,BU07380000
7063,1014800_1,None,66.0,,BU07380000
7064,1014850_2,None,34.0,,BU07380000
7164,M000297,None,276.0,,BU07380001
7165,M001642,None,308.0,,BU07380001
7170,1014800_1,None,88.0,,BU07380001
7171,1014850_2,None,12.0,,BU07380001
7269,M000297,None,83.0,,BU07380009
7270,M001642,None,367.0,,BU07380009
7275,1014800_1,None,90.0,,BU07380009
7276,1014850_2,None,10.0,,BU07380009
7362,M000297,None,1106.0,,WK073801
7363,M001642,None,239.0,,WK073801
7368,1014800_1,None,70.0,,WK073801
7369,1014850_2,None,30.0,,WK073801
7467,M000297,None,1089.0,,BU07380100
7468,M001642,None,236.0,,BU07380100
7473,1014800_1,None,69.0,,BU07380100
7474,1014850_2,None,30.0,,BU07380100
7574,M000297,None,17.0,,BU07380109
7644,M000297,None,664.0,,WK073802
7645,M001642,None,242.0,,WK073802
7650,1014800_1,None,73.0,,WK073802
7651,1014850_2,None,27.0,,WK073802
7749,M000297,None,631.0,,BU07380200
7750,M001642,None,240.0,,BU07380200
7755,1014800_1,None,73.0,,BU07380200
7756,1014850_2,None,27.0,,BU07380200
7856,M000297,None,33.0,,BU07380209
7861,1014800_1,None,85.0,,BU07380209
7862,1014850_2,None,15.0,,BU07380209
7936,M000297,None,347.0,,WK073803
7937,M001642,None,237.0,,WK073803
7942,1014800_1,None,72.0,,WK073803
7943,1014850_2,None,28.0,,WK073803
8041,M000297,None,274.0,,BU07380300
8042,M001642,None,245.0,,BU07380300
8047,1014800_1,None,79.0,,BU07380300
8048,1014850_2,None,21.0,,BU07380300
8146,M000297,None,73.0,,BU07380309
8147,M001642,None,206.0,,BU07380309
8152,1014800_1,None,45.0,,BU07380309
8153,1014850_2,None,55.0,,BU07380309
8239,M000297,None,284.0,,WK073804
8240,M001642,None,231.0,,WK073804
8245,1014800_1,None,77.0,,WK073804
8246,1014850_2,None,23.0,,WK073804
8344,M000297,None,254.0,,BU07380400
8345,M001642,None,221.0,,BU07380400
8350,1014800_1,None,76.0,,BU07380400
8351,1014850_2,None,24.0,,BU07380400
8451,M000297,None,30.0,,BU07380409
8456,1014800_1,None,93.0,,BU07380409
8457,1014850_2,None,7.0,,BU07380409
8529,M000297,None,160.0,,WK073805
8530,M001642,None,292.0,,WK073805
8535,1014800_1,None,81.0,,WK073805
8536,1014850_2,None,18.0,,WK073805
8628,M000297,None,100.0,,BU07380500
8629,M001642,None,264.0,,BU07380500
8634,1014800_1,None,78.0,,BU07380500
8635,1014850_2,None,22.0,,BU07380500
8727,M000297,None,60.0,,BU07380509
8728,M001642,None,347.0,,BU07380509
8733,1014800_1,None,87.0,,BU07380509
8734,1014850_2,None,12.0,,BU07380509
8813,M000297,None,165.0,,WK073806
8814,M001642,None,306.0,,WK073806
8819,1014800_1,None,86.0,,WK073806
8820,1014850_2,None,13.0,,WK073806
8912,M000297,None,139.0,,BU07380600
8913,M001642,None,308.0,,BU07380600
8918,1014800_1,None,88.0,,BU07380600
8919,1014850_2,None,12.0,,BU07380600
9013,M000297,None,26.0,,BU07380609
9018,1014800_1,None,77.0,,BU07380609
9019,1014850_2,None,23.0,,BU07380609
9088,M000297,None,12919.0,,GM0358
9089,M001642,None,294.0,,GM0358
9094,1014800_1,None,63.0,,GM0358
9095,1014850_2,None,35.0,,GM0358
9193,M000297,None,5520.0,,WK035800
9194,M001642,None,283.0,,WK035800
9199,1014800_1,None,58.0,,WK035800
9200,1014850_2,None,38.0,,WK035800
9298,M000297,None,1265.0,,BU03580000
9299,M001642,None,302.0,,BU03580000
9304,1014800_1,None,55.0,,BU03580000
9305,1014850_2,None,34.0,,BU03580000
9405,M000297,None,2834.0,,BU03580001
9406,M001642,None,265.0,,BU03580001
9411,1014800_1,None,59.0,,BU03580001
9412,1014850_2,None,37.0,,BU03580001
9512,M000297,None,1122.0,,BU03580004
9513,M001642,None,248.0,,BU03580004
9518,1014800_1,None,54.0,,BU03580004
9519,1014850_2,None,46.0,,BU03580004
9619,M000297,None,299.0,,BU03580005
9620,M001642,None,529.0,,BU03580005
9625,1014800_1,None,68.0,,BU03580005
9626,1014850_2,None,30.0,,BU03580005
9722,M000297,None,3746.0,,WK035801
9723,M001642,None,271.0,,WK035801
9728,1014800_1,None,65.0,,WK035801
9729,1014850_2,None,35.0,,WK035801
9827,M000297,None,3746.0,,BU03580100
9828,M001642,None,271.0,,BU03580100
9833,1014800_1,None,65.0,,BU03580100
9834,1014850_2,None,35.0,,BU03580100
9934,M000297,None,3653.0,,WK035802
9935,M001642,None,335.0,,WK035802
9940,1014800_1,None,70.0,,WK035802
9941,1014850_2,None,30.0,,WK035802
10039,M000297,None,373.0,,BU03580200
10040,M001642,None,330.0,,BU03580200
10045,1014800_1,None,69.0,,BU03580200
10046,1014850_2,None,30.0,,BU03580200
10142,M000297,None,319.0,,BU03580201
10143,M001642,None,336.0,,BU03580201
10148,1014800_1,None,78.0,,BU03580201
10149,1014850_2,None,21.0,,BU03580201
10247,M000297,None,2780.0,,BU03580205
10248,M001642,None,331.0,,BU03580205
10253,1014800_1,None,68.0,,BU03580205
10254,1014850_2,None,32.0,,BU03580205
10354,M000297,None,181.0,,BU03580206
10355,M001642,None,420.0,,BU03580206
10360,1014800_1,None,82.0,,BU03580206
10361,1014850_2,None,14.0,,BU03580206
10454,M000297,None,11872.0,,GM0197
10459,1014800_1,None,70.0,,GM0197
10460,1014850_2,None,29.0,,GM0197
10558,M000297,None,1435.0,,WK019701
10563,1014800_1,None,85.0,,WK019701
10564,1014850_2,None,14.0,,WK019701
10662,M000297,None,36.0,,BU01970101
10667,1014800_1,None,97.0,,BU01970101
10668,1014850_2,None,3.0,,BU01970101
10743,M000297,None,167.0,,BU01970102
10748,1014800_1,None,85.0,,BU01970102
10749,1014850_2,None,14.0,,BU01970102
10844,M000297,None,131.0,,BU01970103
10849,1014800_1,None,85.0,,BU01970103
10850,1014850_2,None,14.0,,BU01970103
10944,M000297,None,167.0,,BU01970104
10949,1014800_1,None,85.0,,BU01970104
10950,1014850_2,None,14.0,,BU01970104
11044,M000297,None,60.0,,BU01970105
11049,1014800_1,None,92.0,,BU01970105
11050,1014850_2,None,8.0,,BU01970105
11131,M000297,None,61.0,,BU01970106
11136,1014800_1,None,90.0,,BU01970106
11137,1014850_2,None,10.0,,BU01970106
11218,M000297,None,93.0,,BU01970107
11223,1014800_1,None,82.0,,BU01970107
11224,1014850_2,None,15.0,,BU01970107
11314,M000297,None,238.0,,BU01970108
11319,1014800_1,None,84.0,,BU01970108
11320,1014850_2,None,15.0,,BU01970108
11414,M000297,None,33.0,,BU01970109
11419,1014800_1,None,70.0,,BU01970109
11420,1014850_2,None,30.0,,BU01970109
11491,M000297,None,238.0,,BU01970110
11496,1014800_1,None,87.0,,BU01970110
11497,1014850_2,None,13.0,,BU01970110
11593,M000297,None,186.0,,BU01970111
11598,1014800_1,None,84.0,,BU01970111
11599,1014850_2,None,14.0,,BU01970111
11694,M000297,None,25.0,,BU01970112
11699,1014800_1,None,92.0,,BU01970112
11700,1014850_2,None,8.0,,BU01970112
11774,M000297,None,837.0,,WK019702
11779,1014800_1,None,76.0,,WK019702
11780,1014850_2,None,23.0,,WK019702
11878,M000297,None,74.0,,BU01970201
11883,1014800_1,None,85.0,,BU01970201
11884,1014850_2,None,15.0,,BU01970201
11972,M000297,None,81.0,,BU01970202
11977,1014800_1,None,88.0,,BU01970202
11978,1014850_2,None,12.0,,BU01970202
12068,M000297,None,28.0,,BU01970203
12073,1014800_1,None,82.0,,BU01970203
12074,1014850_2,None,14.0,,BU01970203
12146,M000297,None,654.0,,BU01970204
12151,1014800_1,None,74.0,,BU01970204
12152,1014850_2,None,25.0,,BU01970204
12252,M000297,None,5876.0,,WK019703
12257,1014800_1,None,69.0,,WK019703
12258,1014850_2,None,29.0,,WK019703
12356,M000297,None,911.0,,BU01970301
12361,1014800_1,None,73.0,,BU01970301
12362,1014850_2,None,27.0,,BU01970301
12462,M000297,None,1025.0,,BU01970302
12467,1014800_1,None,78.0,,BU01970302
12468,1014850_2,None,22.0,,BU01970302
12568,M000297,None,576.0,,BU01970303
12573,1014800_1,None,80.0,,BU01970303
12574,1014850_2,None,20.0,,BU01970303
12674,M000297,None,1347.0,,BU01970304
12679,1014800_1,None,67.0,,BU01970304
12680,1014850_2,None,26.0,,BU01970304
12780,M000297,None,258.0,,BU01970305
12785,1014800_1,None,87.0,,BU01970305
12786,1014850_2,None,13.0,,BU01970305
12884,M000297,None,440.0,,BU01970306
12889,1014800_1,None,82.0,,BU01970306
12890,1014850_2,None,18.0,,BU01970306
12988,M000297,None,1319.0,,BU01970307
12993,1014800_1,None,48.0,,BU01970307
12994,1014850_2,None,51.0,,BU01970307
13094,M000297,None,3724.0,,WK019704
13099,1014800_1,None,64.0,,WK019704
13100,1014850_2,None,35.0,,WK019704
13198,M000297,None,1414.0,,BU01970400
13203,1014800_1,None,49.0,,BU01970400
13204,1014850_2,None,47.0,,BU01970400
13304,M000297,None,820.0,,BU01970401
13309,1014800_1,None,69.0,,BU01970401
13310,1014850_2,None,31.0,,BU01970401
13410,M000297,None,1012.0,,BU01970402
13415,1014800_1,None,70.0,,BU01970402
13416,1014850_2,None,30.0,,BU01970402
13516,M000297,None,127.0,,BU01970403
13521,1014800_1,None,87.0,,BU01970403
13522,1014850_2,None,13.0,,BU01970403
13613,M000297,None,100.0,,BU01970408
13618,1014800_1,None,84.0,,BU01970408
13619,1014850_2,None,15.0,,BU01970408
13709,M000297,None,251.0,,BU01970409
13714,1014800_1,None,86.0,,BU01970409
13715,1014850_2,None,14.0,,BU01970409
13808,M000297,None,12028.0,,GM0059
13809,M001642,None,164.0,,GM0059
13814,1014800_1,None,63.0,,GM0059
13815,1014850_2,None,35.0,,GM0059
13913,M000297,None,5097.0,,WK005900
13914,M001642,None,159.0,,WK005900
13919,1014800_1,None,63.0,,WK005900
13920,1014850_2,None,36.0,,WK005900
14018,M000297,None,2295.0,,BU00590000
14019,M001642,None,157.0,,BU00590000
14024,1014800_1,None,59.0,,BU00590000
14025,1014850_2,None,38.0,,BU00590000
14125,M000297,None,425.0,,BU00590001
14126,M001642,None,160.0,,BU00590001
14131,1014800_1,None,67.0,,BU00590001
14132,1014850_2,None,32.0,,BU00590001
14232,M000297,None,882.0,,BU00590002
14233,M001642,None,139.0,,BU00590002
14238,1014800_1,None,58.0,,BU00590002
14239,1014850_2,None,42.0,,BU00590002
14339,M000297,None,653.0,,BU00590003
14340,M001642,None,149.0,,BU00590003
14345,1014800_1,None,59.0,,BU00590003
14346,1014850_2,None,41.0,,BU00590003
14446,M000297,None,321.0,,BU00590004
14447,M001642,None,137.0,,BU00590004
14452,1014800_1,None,66.0,,BU00590004
14453,1014850_2,None,34.0,,BU00590004
14553,M000297,None,235.0,,BU00590005
14554,M001642,None,223.0,,BU00590005
14559,1014800_1,None,74.0,,BU00590005
14560,1014850_2,None,26.0,,BU00590005
14654,M000297,None,33.0,,BU00590006
14659,1014800_1,None,97.0,,BU00590006
14660,1014850_2,None,0.0,,BU00590006
14732,M000297,None,127.0,,BU00590007
14733,M001642,None,248.0,,BU00590007
14738,1014800_1,None,91.0,,BU00590007
14739,1014850_2,None,6.0,,BU00590007
14827,M000297,None,95.0,,BU00590008
14828,M001642,None,227.0,,BU00590008
14833,1014800_1,None,91.0,,BU00590008
14834,1014850_2,None,8.0,,BU00590008
14924,M000297,None,31.0,,BU00590009
14929,1014800_1,None,90.0,,BU00590009
14930,1014850_2,None,6.0,,BU00590009
15002,M000297,None,1348.0,,WK005901
15003,M001642,None,168.0,,WK005901
15008,1014800_1,None,72.0,,WK005901
15009,1014850_2,None,27.0,,WK005901
15107,M000297,None,104.0,,BU00590100
15108,M001642,None,137.0,,BU00590100
15113,1014800_1,None,78.0,,BU00590100
15114,1014850_2,None,21.0,,BU00590100
15210,M000297,None,642.0,,BU00590102
15211,M001642,None,156.0,,BU00590102
15216,1014800_1,None,69.0,,BU00590102
15217,1014850_2,None,31.0,,BU00590102
15317,M000297,None,437.0,,BU00590103
15318,M001642,None,160.0,,BU00590103
15323,1014800_1,None,71.0,,BU00590103
15324,1014850_2,None,28.0,,BU00590103
15424,M000297,None,22.0,,BU00590107
