Id,Measure,ValueAttribute,Value,StringValue,RegioS
5461,1014850_2,None,45.0,,WK001000
5557,M000297,None,609.0,,BU00100000
5563,1014800_1,None,34.0,,BU00100000
5564,1014850_2,None,64.0,,BU00100000
5660,M000297,None,1116.0,,BU00100001
5666,1014800_1,None,69.0,,BU00100001
5667,1014850_2,None,31.0,,BU00100001
5764,M000297,None,3013.0,,BU00100002
5770,1014800_1,None,37.0,,BU00100002
5771,1014850_2,None,62.0,,BU00100002
5870,M000297,None,1813.0,,BU00100003
5876,1014800_1,None,68.0,,BU00100003
5877,1014850_2,None,31.0,,BU00100003
5975,M000297,None,636.0,,BU00100004
5981,1014800_1,None,86.0,,BU00100004
5982,1014850_2,None,14.0,,BU00100004
6077,M000297,None,1201.0,,BU00100005
6083,1014800_1,None,59.0,,BU00100005
6084,1014850_2,None,41.0,,BU00100005
6177,M000297,None,308.0,,WK001001
6183,1014800_1,None,87.0,,WK001001
6184,1014850_2,None,12.0,,WK001001
6266,M000297,None,166.0,,BU00100103
6272,1014800_1,None,93.0,,BU00100103
6273,1014850_2,None,7.0,,BU00100103
6356,M000297,None,30.0,,BU00100104
6361,1014800_1,None,90.0,,BU00100104
6362,1014850_2,None,10.0,,BU00100104
6423,M000297,None,104.0,,BU00100107
6429,1014800_1,None,83.0,,BU00100107
6430,1014850_2,None,17.0,,BU00100107
6498,M000297,None,7.0,,BU00100108
6539,M000297,None,1.0,,BU00100109
6588,M000297,None,1648.0,,WK001002
6594,1014800_1,None,74.0,,WK001002
6595,1014850_2,None,26.0,,WK001002
6685,M000297,None,414.0,,BU00100200
6691,1014800_1,None,73.0,,BU00100200
6692,1014850_2,None,26.0,,BU00100200
6780,M000297,None,178.0,,BU00100201
6786,1014800_1,None,86.0,,BU00100201
6787,1014850_2,None,14.0,,BU00100201
6874,M000297,None,129.0,,BU00100202
6880,1014800_1,None,53.0,,BU00100202
6881,1014850_2,None,47.0,,BU00100202
6963,M000297,None,60.0,,BU00100203
6969,1014800_1,None,88.0,,BU00100203
6970,1014850_2,None,12.0,,BU00100203
7048,M000297,None,755.0,,BU00100205
7054,1014800_1,None,72.0,,BU00100205
7055,1014850_2,None,27.0,,BU00100205
7147,M000297,None,26.0,,BU00100207
7152,1014800_1,None,85.0,,BU00100207
7153,1014850_2,None,15.0,,BU00100207
7211,M000297,None,86.0,,BU00100209
7217,1014800_1,None,77.0,,BU00100209
7218,1014850_2,None,23.0,,BU00100209
7304,M000297,None,1683.0,,WK001003
7310,1014800_1,None,80.0,,WK001003
7311,1014850_2,None,20.0,,WK001003
7402,M000297,None,262.0,,BU00100300
7408,1014800_1,None,78.0,,BU00100300
7409,1014850_2,None,21.0,,BU00100300
7503,M000297,None,532.0,,BU00100301
7509,1014800_1,None,77.0,,BU00100301
7510,1014850_2,None,23.0,,BU00100301
7605,M000297,None,418.0,,BU00100302
7611,1014800_1,None,80.0,,BU00100302
7612,1014850_2,None,20.0,,BU00100302
7700,M000297,None,122.0,,BU00100303
7706,1014800_1,None,79.0,,BU00100303
7707,1014850_2,None,21.0,,BU00100303
7785,M000297,None,80.0,,BU00100304
7791,1014800_1,None,84.0,,BU00100304
7792,1014850_2,None,16.0,,BU00100304
7870,M000297,None,43.0,,BU00100305
7875,1014800_1,None,91.0,,BU00100305
7876,1014850_2,None,9.0,,BU00100305
7943,M000297,None,226.0,,BU00100309
7949,1014800_1,None,86.0,,BU00100309
7950,1014850_2,None,14.0,,BU00100309
8038,M000297,None,95291.0,,GM0014
8044,1014800_1,None,39.0,,GM0014
8045,1014850_2,None,58.0,,GM0014
8141,M000297,None,9242.0,,WK001400
8147,1014800_1,None,20.0,,WK001400
8148,1014850_2,None,70.0,,WK001400
8245,M000297,None,1143.0,,BU00140000
8251,1014800_1,None,15.0,,BU00140000
8252,1014850_2,None,72.0,,BU00140000
8347,M000297,None,3198.0,,BU00140001
8353,1014800_1,None,17.0,,BU00140001
8354,1014850_2,None,71.0,,BU00140001
8449,M000297,None,1617.0,,BU00140002
8455,1014800_1,None,17.0,,BU00140002
8456,1014850_2,None,72.0,,BU00140002
8552,M000297,None,843.0,,BU00140003
8558,1014800_1,None,19.0,,BU00140003
8559,1014850_2,None,70.0,,BU00140003
8652,M000297,None,2441.0,,BU00140004
8658,1014800_1,None,28.0,,BU00140004
8659,1014850_2,None,64.0,,BU00140004
8758,M000297,None,11559.0,,WK001401
8764,1014800_1,None,31.0,,WK001401
8765,1014850_2,None,63.0,,WK001401
8862,M000297,None,3071.0,,BU00140100
